periode,jumlah,parah
2016-02,985,400
2016-03,6326,2411
2016-04,18084,6512
2016-05,17605,6000
2016-06,30524,11123
2016-07,45760,15883
2016-08,56435,19072
2016-09,54680,18504
2016-10,55656,18297
2016-11,65033,21854
2016-12,59610,20425
2017-01,55710,19046
2017-02,51663,17737
2017-03,57307,19724
2017-04,48077,17056
2017-05,41094,14467
2017-06,46250,17873
2017-07,43252,16950
2017-08,80932,27730
2017-09,76876,26749
2017-10,74968,25769
2017-11,70125,25002
2017-12,71637,27063
2018-01,75091,27989
2018-02,71531,26213
2018-03,74478,27187
2018-04,72637,26410
2018-05,76508,27640
2018-06,67806,26816
2018-07,65795,24912
2018-08,76414,27263
2018-09,73344,25496
2018-10,87230,27858
2018-11,82148,26992
2018-12,70274,23635
2019-01,79364,26958
2019-02,74609,24273
2019-03,69426,22325
2019-04,73004,22399
2019-05,73887,23240
2019-06,65519,21444
2019-07,68224,21009
2019-08,75256,21300
2019-09,87693,19671
2019-10,106904,22961
2019-11,81918,19702
2019-12,98359,20604
2020-01,92025,19252
2020-02,85815,17849
2020-03,86015,19854
2020-04,87834,21569
2020-05,87608,24076
2020-06,100449,28809
2020-07,35222,11364
2020-08,37310,12710
2020-09,84507,14254
2020-10,130499,16490
2020-11,171952,15142
2020-12,178093,14815
2021-01,152575,14265
2021-02,154594,15539
2021-03,90431,13654
2021-04,90715,13413
2021-05,101413,15484
2021-06,131187,15938
2021-07,113044,13379
2021-08,120656,13848
2021-09,134604,15209
2021-10,134043,14662
2021-11,157406,16283
2021-12,179788,16899
2022-01,135654,13028
2022-02,163558,14330
2022-03,139878,11424
2022-04,196654,13541
2022-05,159505,11082
2022-06,129198,11976
2022-07,140649,14133
2022-08,152322,14329
2022-09,138974,6151
2022-10,85117,2262
2022-11,130914,3692
2022-12,188803,5077
2023-01,160856,4186
2023-02,55509,1907
2023-03,30186,941
