negara_bagian,jam,jumlah,parah
AZ,0,2199,179
AZ,1,1936,170
AZ,2,1821,138
AZ,3,2226,303
AZ,4,4009,813
AZ,5,5673,1039
AZ,6,8977,1336
AZ,7,11968,1395
AZ,8,11981,1320
AZ,9,7950,946
AZ,10,6488,918
AZ,11,6569,923
AZ,12,6943,1035
AZ,13,8432,1304
AZ,14,11222,1519
AZ,15,12281,1605
AZ,16,14412,1783
AZ,17,13401,1742
AZ,18,10479,1352
AZ,19,7113,922
AZ,20,4766,634
AZ,21,4046,562
AZ,22,3215,502
AZ,23,2467,209
CA,0,35993,6032
CA,1,32856,4667
CA,2,32214,5514
CA,3,27283,5106
CA,4,35865,6828
CA,5,58829,9785
CA,6,80909,13283
CA,7,97380,15027
CA,8,95327,16336
CA,9,77403,15016
CA,10,73937,14773
CA,11,79689,15599
CA,12,82406,13853
CA,13,95681,14253
CA,14,111574,15598
CA,15,121409,17262
CA,16,117949,16832
CA,17,122348,17938
CA,18,98331,16443
CA,19,70124,12341
CA,20,57833,10713
CA,21,50800,9036
CA,22,45016,6905
CA,23,40151,6112
FL,0,10348,1020
FL,1,8391,533
FL,2,8319,484
FL,3,8613,597
FL,4,18138,3020
FL,5,22965,3483
FL,6,45547,7182
FL,7,66036,10432
FL,8,67305,10386
FL,9,38096,6747
FL,10,33389,5612
FL,11,37451,5487
FL,12,47031,5572
FL,13,55332,5846
FL,14,62296,5955
FL,15,66708,6657
FL,16,70502,7795
FL,17,65437,7434
FL,18,46228,6447
FL,19,30715,5255
FL,20,24017,4418
FL,21,19245,3104
FL,22,16609,2824
FL,23,11316,874
GA,0,1993,771
GA,1,1513,478
GA,2,1509,492
GA,3,1672,522
GA,4,3574,1563
GA,5,4588,1764
GA,6,9967,3809
GA,7,14721,5205
GA,8,13629,4621
GA,9,7538,3502
GA,10,8257,3445
GA,11,7566,3193
GA,12,8865,3730
GA,13,8476,3962
GA,14,8917,4350
GA,15,9803,4749
GA,16,11350,5633
GA,17,11089,5341
GA,18,9696,4788
GA,19,7703,3916
GA,20,6313,3159
GA,21,4440,2299
GA,22,3970,2053
GA,23,2069,662
MN,0,3076,96
MN,1,2775,107
MN,2,2480,159
MN,3,2137,116
MN,4,3793,424
MN,5,5200,569
MN,6,10256,1288
MN,7,13878,1769
MN,8,12212,1691
MN,9,9116,1397
MN,10,7695,1098
MN,11,7197,1168
MN,12,8151,1610
MN,13,9015,1624
MN,14,10821,1849
MN,15,14547,2839
MN,16,14273,3117
MN,17,14179,3332
MN,18,9494,2040
MN,19,7278,1185
MN,20,7418,1056
MN,21,6815,930
MN,22,6176,998
MN,23,4062,258
NC,0,4056,407
NC,1,2686,301
NC,2,2765,273
NC,3,2062,224
NC,4,4636,756
NC,5,5352,715
NC,6,12870,1693
NC,7,24892,2873
NC,8,26633,3052
NC,9,19406,2239
NC,10,16705,1701
NC,11,18461,1847
NC,12,14821,1727
NC,13,17641,2075
NC,14,19499,2364
NC,15,21080,2721
NC,16,30138,3502
NC,17,30253,3322
NC,18,22069,2688
NC,19,13853,1668
NC,20,9043,1167
NC,21,8345,1128
NC,22,7320,1070
NC,23,3535,432
NY,0,5869,1426
NY,1,4345,821
NY,2,3811,847
NY,3,3565,853
NY,4,6997,1604
NY,5,11332,2570
NY,6,20304,4127
NY,7,29125,5845
NY,8,28635,6236
NY,9,17562,4124
NY,10,15863,3725
NY,11,16959,3537
NY,12,15458,3394
NY,13,16959,3809
NY,14,19377,4447
NY,15,21772,4716
NY,16,23316,5753
NY,17,23117,6107
NY,18,16627,4536
