negara_bagian,jumlah,parah,rata_severity
CA,1741307,285252,2.166
FL,880034,117164,2.14
TX,582779,127617,2.224
SC,382428,45557,2.111
NY,347832,80779,2.259
NC,338121,39945,2.134
VA,303241,69505,2.279
PA,296506,46862,2.206
MN,192044,30720,2.162
OR,178640,15447,2.111
AZ,170574,22649,2.119
GA,169218,74007,2.507
IL,168916,62048,2.383
TN,167373,31986,2.198
MI,162148,48082,2.337
LA,145708,19169,2.125
NJ,140648,27180,2.234
MD,140392,36322,2.332
OH,118055,36992,2.353
WA,108205,34005,2.344
AL,101039,23367,2.243
UT,97068,16642,2.182
CO,90880,33805,2.444
OK,83645,7283,2.077
MO,77294,28271,2.399
CT,70993,20536,2.347
IN,67166,21425,2.397
MA,61993,19167,2.294
WI,34683,13064,2.474
KY,32219,13701,2.454
NE,28843,4706,2.179
MT,28407,601,2.037
IA,26206,8961,2.418
AR,22780,3504,2.276
NV,21600,4401,2.231
KS,20988,6118,2.328
DC,18616,1991,2.143
RI,16971,7847,2.458
MS,15166,4412,2.345
DE,14011,2256,2.254
WV,13791,1345,2.157
ID,11357,765,2.115
NM,10325,3422,2.372
NH,10209,2313,2.243
WY,3757,729,2.34
ND,3484,30,2.013
ME,2698,435,2.204
VT,925,307,2.426
SD,287,68,2.446
