src,dst,weight
Whittier|I-605 N,Whittier|San Gabriel River Fwy N,13
San Jose|Bayshore Fwy N,San Jose|I-280 S,2
Modesto|CA-99 N,Modesto|CA-99 S,15
Sacramento|CA-16 W,Sacramento|US-50,6
Sacramento|CA-16 E,Sacramento|Capital City Fwy E,1
Sacramento| Auburn Blvd,Sacramento|Capital City Fwy E,7
Sacramento| Auburn Blvd,Sacramento|I-80 E,3
San Diego|CA-163 N,San Diego|I-8 E,2
San Diego|I-5,San Diego|I-8 E,2
San Diego|CA-163,San Diego|I-805 S,1
San Diego|CA-163,San Diego|I-15,1
Escondido|Escondido Fwy S,San Diego|Escondido Fwy S,1
Riverside|I-215,Riverside|Riverside Fwy E,1
Los Angeles|I-5 N,Los Angeles|I-5 S,14
Sacramento| Stockton Blvd,Sacramento|CA-99 N,3
Sacramento|US-50,Sacramento|Watt Ave,1
Sacramento|Capital City Fwy E,Sacramento|Roseville Rd,2
Sacramento|I-5 N,Sacramento|I-80,2
San Diego|CA-15 S,San Diego|I-5 S,2
Los Angeles|I-10 W,Los Angeles|S La Cienega Blvd,3
San Jose|Guadalupe Pkwy,San Jose|Norman Y Mineta Hwy,1
Los Angeles|I-10 W,Los Angeles|Venice Blvd,7
San Diego|I-805,San Diego|I-805 S,32
Anaheim|CA-91 E,Corona|CA-91,1
Corona|CA-91 E,Riverside|CA-91,1
Bakersfield|CA-99 N,Bakersfield|CA-99 S,51
Bakersfield|CA-58 E,Bakersfield|CA-58 W,24
Fresno|CA-41 N,Fresno|CA-41 S,19
San Jose|Bayshore Fwy N,San Jose|Sinclair Fwy N,2
Redwood City|I-280 S,San Mateo|CA-92 W,1
San Rafael|Redwood Hwy,San Rafael|US-101 S,12
Sacramento| Stockton Blvd,Sacramento|CA-99,1
Sacramento| Auburn Blvd,Sacramento|Capital City Fwy W,7
Sacramento|CA-16 E,Sacramento|CA-99 N,2
San Diego|CA-15 S,San Diego|Escondido Fwy S,6
San Diego|I-15 N,San Diego|I-8 W,1
San Diego|CA-15 S,San Diego|I-8 E,1
San Diego|CA-163,San Diego|Escondido Fwy S,1
Escondido|I-15 N,San Diego|I-15 N,1
Riverside|CA-91 W,Riverside|I-215 S,3
San Jose|Guadalupe Pkwy,San Jose|I-280 N,2
San Diego|I-5 S,San Diego|San Diego Fwy S,26
Riverside|CA-91,Riverside|CA-91 W,25
Los Angeles|I-10 E,Los Angeles|I-405 S,1
Sacramento|CA-99 N,Sacramento|CA-99 S,19
San Diego|Escondido Fwy N,San Diego|I-805 N,1
San Diego|CA-163 N,San Diego|Escondido Fwy S,2
Escondido|I-15,San Diego|Escondido Fwy S,1
Fresno|CA-41 S,Fresno|CA-99 N,3
San Diego|Escondido Fwy S,San Diego|I-15 N,35
Escondido|Escondido Fwy N,Escondido|I-15 N,22
Anaheim|CA-91 W,Corona|CA-91 W,1
San Bernardino|I-215 N,San Bernardino|I-215 S,20
Fresno|CA-180,Fresno|CA-180 W,21
San Jose|US-101,San Jose|US-101 N,24
San Diego|CA-15 S,San Diego|I-5,2
San Diego|I-8 W,San Diego|San Diego Fwy S,2
Escondido|I-15,San Diego|Escondido Fwy N,1
Fresno|CA-41 N,Fresno|CA-99 S,3
Sacramento|Capital City Fwy W,Sacramento|Watt Ave,1
San Diego|I-805 N,San Diego|Kumeyaay Hwy,1
Corona|CA-91,Corona|CA-91 W,20
Los Angeles|CA-134 E,Los Angeles|I-5 N,2
Fresno|CA-180 W,Fresno|CA-41 N,1
Fresno|CA-180 W,Fresno|CA-41,1
Sacramento|CA-16 E,Sacramento|Capital City Fwy W,1
Sacramento| Florin Rd,Sacramento|I-5 N,1
Escondido|Escondido Fwy S,San Diego|I-15,1
San Diego|I-5,San Diego|John J Montgomery Fwy S,13
Corona|CA-91,Riverside|CA-91 E,1
Whittier|I-605,Whittier|San Gabriel River Fwy N,10
Bakersfield|CA-58 W,Bakersfield|CA-99 S,4
Fresno|CA-41,Fresno|CA-41 S,21
Sacramento|CA-16 W,Sacramento|I-5,21
Sacramento|I-80,Sacramento|I-80 W,22
Sacramento|I-5,Sacramento|I-80 E,1
San Diego|I-15 N,San Diego|I-8 E,1
Los Angeles| S Vermont Ave,Los Angeles|I-10 W,1
Fresno|CA-41 N,Fresno|CA-99,2
Riverside|CA-60 W,Riverside|I-215 N,14
Riverside|CA-60 E,Riverside|I-215 S,11
