label,jumlah_ruas,total_kecelakaan,rata_severity
249108103273,185,50456,2.192
412316860476,50,29486,2.155
94489280620,95,28729,2.152
386547056703,44,22908,2.144
163208757340,74,21223,2.212
532575944729,58,20581,2.201
429496729601,59,19760,2.021
360777252922,63,18123,2.073
498216206474,71,17798,2.19
532575944751,42,17388,2.223
523986010150,51,17258,2.116
94489280581,48,16968,2.16
266287972450,55,16368,2.023
249108103270,124,16147,2.093
335007449145,65,15169,2.243
257698037905,67,14816,2.061
92,49,13526,2.025
240518168676,44,13254,2.124
77309411406,16,12914,2.285
300647710755,46,12342,2.159
