id,kota,jalan,lat,lng,jumlah_kecelakaan,rata_severity,pagerank,komunitas,degree
San Diego|I-5 N,San Diego,I-5 N,32.7879,-117.1858,4189,2.371,5.8215,249108103273,236
San Diego|I-5 S,San Diego,I-5 S,32.7592,-117.174,2807,2.153,5.6497,249108103273,228
San Diego|I-5,San Diego,I-5,32.7844,-117.1846,993,2.03,5.5358,249108103273,226
Sacramento|CA-99 S,Sacramento,CA-99 S,38.5407,-121.4702,2993,2.129,5.4278,240518168676,204
Bakersfield|CA-99 N,Bakersfield,CA-99 N,35.3146,-119.0386,2035,2.032,4.8891,455266533380,130
Bakersfield|CA-99 S,Bakersfield,CA-99 S,35.365,-119.0513,1524,2.028,4.8215,455266533380,128
Los Angeles|I-5 N,Los Angeles,I-5 N,34.0335,-118.1914,4375,2.416,4.3124,412316860476,190
Sacramento|I-80 E,Sacramento,I-80 E,38.6479,-121.4259,2734,2.431,4.208,249108103270,156
Bakersfield|CA-99,Bakersfield,CA-99,35.311,-119.0382,524,2.004,4.1166,455266533380,114
San Diego|I-805 N,San Diego,I-805 N,32.7766,-117.1376,3331,2.399,4.1148,249108103273,178
Los Angeles|I-10 W,Los Angeles,I-10 W,34.0359,-118.3033,7307,2.37,4.0596,386547056703,196
Salinas|El Camino Real N,Salinas,El Camino Real N,36.7405,-121.6526,1309,2.008,3.9342,231928234090,64
San Diego|I-805 S,San Diego,I-805 S,32.7973,-117.1505,3700,2.304,3.9322,249108103273,172
Stockton|CA-99 S,Stockton,CA-99 S,37.9742,-121.2459,693,1.996,3.9155,68719476866,90
Anaheim|CA-91 E,Anaheim,CA-91 E,33.86,-117.8119,4334,2.029,3.8619,429496729601,116
Fresno|CA-41,Fresno,CA-41,36.7024,-119.7843,437,1.977,3.8534,532575944739,110
Sacramento|Capital City Fwy W,Sacramento,Capital City Fwy W,38.5926,-121.4503,2965,2.146,3.7739,92,152
Sacramento|CA-99 N,Sacramento,CA-99 N,38.5225,-121.4605,3493,2.031,3.7728,455266533510,140
Los Angeles|I-10 E,Los Angeles,I-10 E,34.0357,-118.3114,7476,2.421,3.7454,386547056703,180
San Jose|US-101,San Jose,US-101,37.3253,-121.8529,505,1.98,3.7001,257698037905,122
Los Angeles|I-5,Los Angeles,I-5,34.0591,-118.214,938,2.108,3.6934,412316860476,164
San Diego|Escondido Fwy S,San Diego,Escondido Fwy S,32.902,-117.1037,2858,2.354,3.6488,249108103273,156
San Diego|Escondido Fwy N,San Diego,Escondido Fwy N,32.911,-117.1027,2450,2.211,3.6488,249108103273,156
San Diego|I-805,San Diego,I-805,32.7953,-117.1489,630,2.052,3.6163,249108103273,160
San Diego|San Diego Fwy S,San Diego,San Diego Fwy S,32.784,-117.1944,867,2.664,3.6047,249108103273,148
Sacramento|CA-16 W,Sacramento,CA-16 W,38.5821,-121.4791,2408,2.149,3.5503,240518168676,134
Sacramento|I-80 W,Sacramento,I-80 W,38.6495,-121.4206,1957,2.373,3.5124,249108103270,130
Sacramento|CA-99,Sacramento,CA-99,38.5303,-121.4615,475,2.0,3.4921,455266533510,120
Anaheim|Riverside Fwy E,Anaheim,Riverside Fwy E,33.8584,-117.8237,1738,2.097,3.4793,429496729601,102
Escondido|Escondido Fwy S,Escondido,Escondido Fwy S,33.1307,-117.0987,1644,2.337,3.468,8589934731,102
Fresno|CA-99 S,Fresno,CA-99 S,36.739,-119.809,1403,2.011,3.4641,481036337187,108
Sacramento|Capital City Fwy E,Sacramento,Capital City Fwy E,38.5884,-121.4547,2816,2.165,3.3894,92,136
Sacramento|CA-16 E,Sacramento,CA-16 E,38.6034,-121.5078,2408,2.168,3.3723,240518168676,126
Stockton|CA-99 N,Stockton,CA-99 N,37.9696,-121.2436,759,2.017,3.3684,68719476866,78
Anaheim|CA-91,Anaheim,CA-91,33.8544,-117.8442,515,2.008,3.3266,429496729601,98
Escondido|I-15,Escondido,I-15,33.1481,-117.1051,344,2.032,3.2751,8589934731,98
Santa Rosa|Redwood Hwy N,Santa Rosa,Redwood Hwy N,38.4311,-122.7249,971,1.997,3.2668,94489280644,78
Stockton|CA-99,Stockton,CA-99,37.9769,-121.2444,209,2.01,3.2647,231928234112,76
Escondido|Escondido Fwy N,Escondido,Escondido Fwy N,33.1268,-117.0981,1079,2.153,3.2432,8589934731,96
Fresno|CA-99,Fresno,CA-99,36.7426,-119.8126,315,2.006,3.2408,481036337187,100
San Diego|I-15 N,San Diego,I-15 N,32.9052,-117.103,1183,2.659,3.238,249108103273,136
San Diego|I-15,San Diego,I-15,32.9065,-117.1041,454,2.044,3.199,249108103273,134
Riverside|I-215 N,Riverside,I-215 N,33.9805,-117.3333,2041,2.541,3.1363,94489280620,108
Anaheim|CA-91 W,Anaheim,CA-91 W,33.8575,-117.8061,4838,2.038,3.1252,429496729601,94
Fresno|CA-99 N,Fresno,CA-99 N,36.7332,-119.8022,1379,2.0,3.1119,481036337187,98
San Francisco|US-101,San Francisco,US-101,37.7372,-122.4114,363,2.011,3.0913,438086664325,98
Santa Rosa|US-101 N,Santa Rosa,US-101 N,38.4284,-122.7226,626,2.018,3.0894,94489280644,74
San Bernardino|Barstow Fwy N,San Bernardino,Barstow Fwy N,34.2475,-117.4155,2903,2.172,3.0843,498216206474,94
Los Angeles|I-5 S,Los Angeles,I-5 S,34.0179,-118.1856,2998,2.298,3.0829,412316860476,138
Redlands|I-10,Redlands,I-10,34.041,-117.1511,390,2.064,3.0809,223338299496,56
Riverside|I-215 S,Riverside,I-215 S,33.9898,-117.3384,2043,2.378,3.0679,94489280620,106
Modesto|CA-99,Modesto,CA-99,37.6614,-121.0312,269,1.989,3.0459,257698037849,72
Sacramento|I-5 N,Sacramento,I-5 N,38.5472,-121.5155,1991,2.437,3.0348,240518168676,100
Sacramento|I-80,Sacramento,I-80,38.646,-121.4386,329,2.058,2.9986,249108103270,110
Bakersfield|CA-58 E,Bakersfield,CA-58 E,35.357,-118.9938,676,2.067,2.9929,412316860467,80
San Jose|I-280,San Jose,I-280,37.3208,-121.9269,403,2.099,2.9854,455266533524,102
San Jose|I-280 S,San Jose,I-280 S,37.3211,-121.9205,2708,2.381,2.9854,455266533524,102
Escondido|I-15 N,Escondido,I-15 N,33.1312,-117.1007,575,2.666,2.9585,8589934731,88
Fresno|CA-180 W,Fresno,CA-180 W,36.7489,-119.778,1249,2.009,2.9051,532575944739,86
Fresno|CA-180,Fresno,CA-180,36.7496,-119.7726,261,2.0,2.9022,532575944739,86
Los Angeles|US-101,Los Angeles,US-101,34.0777,-118.276,699,2.017,2.8945,360777252922,120
Ontario|I-10 E,Ontario,I-10 E,34.0737,-117.5996,5198,2.286,2.8945,77309411406,70
Ontario|I-10 W,Ontario,I-10 W,34.0729,-117.5934,3816,2.348,2.8945,77309411406,70
Bakersfield|CA-58 W,Bakersfield,CA-58 W,35.3565,-119.0124,809,2.048,2.8835,412316860467,80
Tracy|I-580 E,Tracy,I-580 E,37.7231,-121.5546,1173,2.374,2.8731,223338299536,68
Sacramento| Auburn Blvd,Sacramento, Auburn Blvd,38.6464,-121.3699,352,2.0,2.8658,249108103270,118
Sacramento|Auburn Blvd,Sacramento,Auburn Blvd,38.6455,-121.3707,337,1.976,2.8658,249108103270,118
