lat,lng,jumlah,parah,rata_severity,negara_bagian,share_parah
25.9,-80.2,53220,7831,2.163,FL,0.1471
34.0,-118.2,39835,7315,2.187,CA,0.1836
25.7,-80.4,33737,251,2.009,FL,0.0074
35.2,-80.8,33303,998,2.014,NC,0.03
35.8,-78.6,33264,3576,2.099,NC,0.1075
32.8,-96.8,32685,8414,2.257,TX,0.2574
40.8,-73.9,31722,9714,2.321,NY,0.3062
33.9,-118.3,31718,7955,2.255,CA,0.2508
34.0,-118.3,31390,8515,2.277,CA,0.2713
25.8,-80.3,28292,984,2.041,FL,0.0348
34.1,-118.2,27988,5655,2.21,CA,0.2021
30.4,-91.1,27027,2412,2.076,LA,0.0892
36.2,-86.8,26736,4619,2.163,TN,0.1728
25.8,-80.2,26576,6087,2.249,FL,0.229
30.3,-97.7,25265,3453,2.135,TX,0.1367
33.9,-118.2,25219,5619,2.227,CA,0.2228
33.9,-118.1,25065,7236,2.295,CA,0.2887
35.2,-80.9,24934,1833,2.06,NC,0.0735
34.0,-118.4,24830,8723,2.354,CA,0.3513
28.5,-81.4,24336,3013,2.13,FL,0.1238
29.7,-95.5,23938,3766,2.158,TX,0.1573
25.9,-80.3,22993,1097,2.054,FL,0.0477
35.8,-78.7,22832,3820,2.162,NC,0.1673
29.8,-95.4,22788,5950,2.265,TX,0.2611
25.7,-80.3,22782,322,2.018,FL,0.0141
29.7,-95.4,22009,3553,2.163,TX,0.1614
34.0,-118.1,21772,4602,2.214,CA,0.2114
34.1,-118.0,21345,7635,2.363,CA,0.3577
38.6,-121.4,20844,1392,2.06,CA,0.0668
30.4,-97.7,20455,1899,2.088,TX,0.0928
36.1,-86.7,19852,3787,2.183,TN,0.1908
26.0,-80.2,19186,5384,2.317,FL,0.2806
33.8,-84.4,19054,8926,2.493,GA,0.4685
40.7,-73.8,18615,4931,2.282,NY,0.2649
35.3,-80.8,18506,1878,2.088,NC,0.1015
32.9,-96.8,18493,4256,2.234,TX,0.2301
34.1,-118.3,17929,2245,2.129,CA,0.1252
47.6,-122.3,17445,4754,2.287,WA,0.2725
37.7,-122.1,17401,4033,2.225,CA,0.2318
33.8,-117.9,17142,2457,2.148,CA,0.1433
32.7,-117.1,16952,3159,2.19,CA,0.1863
25.6,-80.4,16727,203,2.015,FL,0.0121
34.2,-118.5,16622,3855,2.238,CA,0.2319
40.7,-74.0,16606,4653,2.299,NY,0.2802
38.6,-121.5,16252,3392,2.204,CA,0.2087
30.2,-97.8,15942,2081,2.129,TX,0.1305
34.2,-118.4,15761,2215,2.147,CA,0.1405
37.3,-121.9,15731,3417,2.21,CA,0.2172
28.6,-81.4,15452,2841,2.191,FL,0.1839
38.9,-77.0,15363,1999,2.16,DC,0.1301
29.7,-95.6,15188,323,2.018,TX,0.0213
37.6,-77.5,15122,2315,2.132,VA,0.1531
28.4,-81.4,14809,294,2.023,FL,0.0199
34.1,-117.3,14783,3284,2.228,CA,0.2221
34.1,-117.9,14618,4585,2.318,CA,0.3137
37.8,-122.3,14567,5607,2.383,CA,0.3849
30.4,-91.2,14487,2648,2.18,LA,0.1828
32.7,-96.8,14459,3703,2.259,TX,0.2561
26.1,-80.2,14192,4851,2.366,FL,0.3418
32.9,-96.7,14180,4942,2.352,TX,0.3485
33.5,-112.1,14070,3680,2.238,AZ,0.2615
29.7,-95.3,14068,3560,2.258,TX,0.2531
45.5,-122.7,13786,1868,2.142,OR,0.1355
34.1,-117.5,13734,2920,2.214,CA,0.2126
43.0,-83.7,13546,2497,2.188,MI,0.1843
34.1,-117.8,13545,3737,2.283,CA,0.2759
34.0,-118.0,13465,1285,2.101,CA,0.0954
45.0,-93.3,13367,4088,2.307,MN,0.3058
33.7,-84.4,13033,6997,2.582,GA,0.5369
34.0,-117.9,13017,217,2.018,CA,0.0167
33.7,-117.8,12996,3852,2.301,CA,0.2964
37.5,-77.4,12961,1734,2.102,VA,0.1338
30.0,-90.1,12929,1967,2.136,LA,0.1521
33.9,-118.0,12901,1487,2.118,CA,0.1153
35.1,-80.9,12734,1207,2.083,NC,0.0948
36.1,-86.8,12657,1930,2.143,TN,0.1525
28.4,-81.5,12460,939,2.078,FL,0.0754
30.5,-91.1,12440,128,1.99,LA,0.0103
34.2,-118.3,12358,2941,2.243,CA,0.238
32.9,-96.9,12301,4506,2.37,TX,0.3663
32.8,-117.2,12227,2669,2.225,CA,0.2183
40.7,-73.9,12184,4111,2.362,NY,0.3374
36.1,-95.9,12002,279,2.003,OK,0.0232
34.3,-118.5,11994,3351,2.291,CA,0.2794
33.8,-118.2,11941,4368,2.377,CA,0.3658
35.9,-78.6,11849,334,2.018,NC,0.0282
37.4,-121.9,11801,2483,2.196,CA,0.2104
34.0,-117.3,11780,3477,2.297,CA,0.2952
32.8,-117.1,11776,2998,2.26,CA,0.2546
40.1,-75.3,11716,1649,2.145,PA,0.1407
34.0,-117.8,11605,290,2.027,CA,0.025
25.8,-80.4,11597,215,2.023,FL,0.0185
28.5,-81.5,11434,585,2.052,FL,0.0512
29.8,-95.5,11401,2534,2.225,TX,0.2223
34.0,-81.1,11218,3725,2.343,SC,0.3321
27.8,-82.7,11127,1397,2.114,FL,0.1256
37.8,-122.4,10828,3320,2.301,CA,0.3066
34.1,-117.6,10811,2488,2.234,CA,0.2301
28.0,-82.5,10779,3436,2.315,FL,0.3188
34.1,-118.1,10745,3423,2.323,CA,0.3186
33.9,-118.4,10704,3394,2.324,CA,0.3171
35.5,-97.6,10663,1189,2.1,OK,0.1115
38.5,-121.4,10655,128,2.004,CA,0.012
34.8,-82.3,10638,2603,2.235,SC,0.2447
29.8,-95.3,10456,2982,2.293,TX,0.2852
40.7,-74.2,10361,1810,2.197,NJ,0.1747
44.9,-93.3,10358,2864,2.277,MN,0.2765
39.8,-84.2,10355,1147,2.098,OH,0.1108
29.9,-95.4,10317,2672,2.262,TX,0.259
33.9,-117.9,10295,285,2.031,CA,0.0277
40.0,-75.2,10294,2974,2.317,PA,0.2889
32.8,-96.9,10286,2606,2.258,TX,0.2534
43.2,-77.6,10284,610,2.055,NY,0.0593
30.2,-97.7,10275,1066,2.101,TX,0.1037
37.8,-122.2,10269,3576,2.341,CA,0.3482
34.1,-117.7,10264,2441,2.241,CA,0.2378
32.8,-96.7,10166,2435,2.237,TX,0.2395
42.4,-83.1,10132,4797,2.494,MI,0.4735
28.5,-81.3,10037,285,2.031,FL,0.0284
33.8,-118.1,10022,3822,2.387,CA,0.3814
34.9,-82.3,9988,1194,2.095,SC,0.1195
34.8,-82.4,9909,1057,2.086,SC,0.1067
33.7,-117.9,9845,1883,2.198,CA,0.1913
40.9,-73.9,9764,2471,2.27,NY,0.2531
45.0,-93.1,9740,2775,2.288,MN,0.2849
35.1,-80.8,9724,356,2.028,NC,0.0366
34.1,-80.9,9689,936,2.096,SC,0.0966
35.2,-80.7,9666,110,1.996,NC,0.0114
43.0,-85.7,9622,1004,2.11,MI,0.1043
40.7,-111.9,9553,1853,2.201,UT,0.194
35.3,-80.9,9528,492,2.038,NC,0.0516
34.0,-117.4,9430,868,2.094,CA,0.092
37.9,-122.3,9418,3434,2.363,CA,0.3646
35.0,-82.0,9414,1475,2.141,SC,0.1567
38.5,-121.5,9359,1096,2.111,CA,0.1171
35.5,-97.5,9298,1175,2.119,OK,0.1264
29.4,-98.5,9261,2717,2.295,TX,0.2934
38.9,-77.2,9220,3116,2.355,VA,0.338
40.8,-74.0,9167,1028,2.145,NY,0.1121
39.8,-105.0,9137,4474,2.511,CO,0.4897
41.8,-71.4,8991,4807,2.531,RI,0.5346
37.6,-122.1,8908,2717,2.294,CA,0.305
39.1,-94.6,8829,2583,2.325,MO,0.2926
45.0,-93.2,8817,2575,2.294,MN,0.292
35.7,-78.6,8787,808,2.084,NC,0.092
32.2,-110.9,8733,241,1.953,AZ,0.0276
40.9,-74.0,8653,2409,2.297,NJ,0.2784
33.9,-117.5,8650,830,2.1,CA,0.096
33.5,-112.2,8649,1497,2.134,AZ,0.1731
30.5,-91.2,8630,1253,2.139,LA,0.1452
27.9,-82.3,8568,952,2.105,FL,0.1111
32.7,-96.9,8473,1352,2.161,TX,0.1596
28.6,-81.3,8447,186,2.022,FL,0.022
38.7,-121.3,8422,1129,2.129,CA,0.1341
33.8,-118.3,8400,2043,2.247,CA,0.2432
28.6,-81.5,8399,131,2.009,FL,0.0156
33.6,-117.7,8376,2245,2.271,CA,0.268
40.1,-75.4,8356,720,2.094,PA,0.0862
27.3,-82.5,8244,135,2.015,FL,0.0164
33.4,-111.9,8218,445,2.049,AZ,0.0541
27.4,-82.5,8136,500,2.058,FL,0.0615
40.1,-75.1,8101,46,2.003,PA,0.0057
38.7,-121.4,8091,625,2.069,CA,0.0772
35.4,-97.5,8086,1134,2.131,OK,0.1402
35.3,-80.7,8072,458,2.043,NC,0.0567
40.6,-111.9,8063,1877,2.237,UT,0.2328
33.9,-117.6,8042,802,2.102,CA,0.0997
34.1,-118.5,8031,3081,2.387,CA,0.3836
39.0,-77.0,7978,1517,2.224,MD,0.1901
33.8,-84.5,7953,4584,2.625,GA,0.5764
39.9,-75.1,7921,2210,2.304,NJ,0.279
45.5,-122.6,7890,1328,2.162,OR,0.1683
40.7,-74.1,7873,1188,2.179,NJ,0.1509
35.4,-119.0,7810,120,2.015,CA,0.0154
38.0,-122.3,7805,2245,2.282,CA,0.2876
37.5,-77.5,7770,123,1.97,VA,0.0158
34.1,-117.4,7758,1170,2.154,CA,0.1508
34.0,-117.6,7753,921,2.123,CA,0.1188
34.0,-117.7,7689,214,2.032,CA,0.0278
34.9,-82.4,7614,85,1.984,SC,0.0112
33.9,-117.3,7595,1339,2.179,CA,0.1763
39.7,-105.0,7580,2428,2.331,CO,0.3203
37.6,-77.4,7559,1278,2.141,VA,0.1691
38.8,-77.2,7462,2506,2.353,VA,0.3358
32.3,-111.0,7462,267,1.961,AZ,0.0358
33.9,-117.7,7425,239,2.035,CA,0.0322
33.5,-112.0,7424,810,2.088,AZ,0.1091
47.7,-122.3,7399,1896,2.264,WA,0.2563
41.9,-87.7,7354,4367,2.607,IL,0.5938
42.3,-71.1,7350,1542,2.188,MA,0.2098
41.0,-73.7,7346,2701,2.371,NY,0.3677
30.3,-97.8,7343,77,2.007,TX,0.0105
40.9,-73.8,7237,1521,2.219,NY,0.2102
