fpr,tpr
0.0,0.0
0.0005,0.01134
0.00097,0.0185
0.00146,0.0264
0.00199,0.03314
0.00252,0.04037
0.0031,0.04618
0.00362,0.05307
0.00421,0.05876
0.00475,0.06506
0.00535,0.07025
0.00589,0.0766
0.00642,0.08174
0.00706,0.0861
0.00764,0.09185
0.00819,0.09658
0.00878,0.10229
0.00944,0.10698
0.01002,0.11089
0.01066,0.11614
0.01132,0.12124
0.01195,0.12563
0.01272,0.13056
0.01327,0.13451
0.01388,0.13974
0.01452,0.14485
0.01525,0.14907
0.01593,0.15384
0.01664,0.15831
0.01728,0.16308
0.0179,0.16745
0.01849,0.172
0.01922,0.17699
0.01999,0.1813
0.02064,0.18513
0.02125,0.18925
0.02191,0.19363
0.02262,0.19775
0.02332,0.20144
0.02399,0.205
0.02463,0.20909
0.02536,0.21312
0.02603,0.21714
0.02671,0.22134
0.02747,0.22495
0.02824,0.22875
0.02896,0.23237
0.02976,0.2356
0.03063,0.23918
0.0314,0.24304
0.03217,0.24646
0.03291,0.25017
0.03367,0.25356
0.03437,0.25701
0.03507,0.26084
0.03583,0.26434
0.03654,0.26809
0.03731,0.27129
0.03807,0.27489
0.03895,0.2784
0.03974,0.28209
0.0405,0.28582
0.04124,0.28943
0.04203,0.29312
0.04281,0.29592
0.04367,0.29933
0.04449,0.30295
0.04534,0.30615
0.04615,0.30952
0.04711,0.31318
0.04797,0.31668
0.04884,0.32022
0.04974,0.32367
0.05065,0.32682
0.05158,0.32985
0.05237,0.33291
0.05326,0.33581
0.05408,0.33915
0.05507,0.34221
0.05583,0.34516
0.05671,0.34831
0.0577,0.35166
0.05862,0.35462
0.05951,0.35797
0.06037,0.36149
0.06127,0.36476
0.06222,0.36797
0.06313,0.37114
0.06397,0.37416
0.06482,0.37729
0.06567,0.38001
0.06668,0.38297
0.06759,0.38587
0.06857,0.38868
0.06946,0.39194
0.0704,0.39453
0.07133,0.39755
0.07239,0.40061
0.07331,0.40342
0.07432,0.40608
0.07524,0.40887
0.0761,0.4115
0.07705,0.41463
0.078,0.41776
0.07912,0.42065
0.08008,0.42323
0.08097,0.42619
0.08192,0.42928
0.08296,0.43182
0.08391,0.4346
0.0849,0.4372
0.0859,0.44014
0.08689,0.44291
0.08789,0.44556
0.08883,0.44811
0.08993,0.45088
0.09113,0.45358
0.09229,0.4562
0.09326,0.45876
0.09427,0.46127
0.09551,0.46398
0.09661,0.46681
0.09777,0.46924
0.09891,0.4722
0.10007,0.47476
0.10111,0.47743
0.10221,0.48008
0.10332,0.4827
0.10443,0.48504
0.1054,0.48752
0.10649,0.49012
0.10776,0.49285
0.10889,0.49562
0.1102,0.49836
0.11156,0.50091
0.11256,0.50344
0.11371,0.50607
0.1148,0.50882
0.11603,0.51128
0.1172,0.5137
0.11838,0.51616
0.11944,0.51867
0.12048,0.5213
0.12163,0.52385
0.12279,0.52624
0.12388,0.52857
0.12512,0.53071
0.12625,0.53324
0.12771,0.53558
0.12876,0.53813
0.13005,0.54066
0.13132,0.54302
0.13264,0.54527
0.13402,0.54801
0.13522,0.5503
0.13644,0.5528
0.13779,0.55521
0.139,0.55798
0.14031,0.56032
0.14138,0.56278
0.1426,0.56519
0.14402,0.56767
0.14528,0.56988
0.14659,0.57207
0.14777,0.57456
0.14915,0.57708
0.15049,0.57926
0.15167,0.58183
0.15314,0.58426
0.15437,0.58656
0.15574,0.58874
0.15709,0.59072
0.15855,0.59289
0.15999,0.59511
0.16133,0.59761
0.1627,0.59987
0.16422,0.60221
0.16563,0.60445
0.16698,0.60662
0.16825,0.60877
0.16964,0.6111
0.17121,0.61322
0.1725,0.61539
0.17384,0.61761
0.17535,0.61985
0.17682,0.62213
0.17854,0.62423
0.17998,0.62647
0.18177,0.62857
0.18341,0.63068
0.18497,0.63293
0.18642,0.63521
0.18777,0.6376
0.18924,0.63989
0.19091,0.64203
0.19234,0.64412
0.19391,0.64637
0.19549,0.64851
0.19692,0.65075
0.19846,0.65306
0.20026,0.65526
0.20177,0.6574
0.20326,0.65967
0.20478,0.66176
0.20645,0.66381
0.20811,0.66607
0.20969,0.66831
0.21116,0.67055
0.21265,0.67275
0.21424,0.67489
0.21598,0.67711
0.21775,0.67925
0.21951,0.6813
0.22109,0.68335
0.22275,0.68542
0.22422,0.68766
0.22572,0.68987
0.22752,0.69189
0.22907,0.69399
0.23075,0.69592
0.23231,0.69807
0.23408,0.70021
0.23568,0.70228
